MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,38.1,0.567,20.4,25.9,9,30.2,20.3,28.29,391.3,13,22.2,3,10.5,1108,13.5,17,8.3,16.6,683,0.507,1.34,0.504,5.4,6.7,445,0.811,0,0,0,0,466,5.7,7.2,2.1,121,1.48,1.86,0.58,112,1.37,1.72,0.54,69,1
4th,33.4,0.54,11.6,26.6,11,28.2,19.4,27.12,249.2,8.3,0,0,0,0,0,0,7.8,15.8,517,0.498,1.29,0.498,4.6,6.9,305,0.67,0,0,0,0,0,0,0,0,0,0,0,0,174,2.64,3.79,1.21,44,0
2nd,34.1,0.583,10.9,27.4,12,22.8,17.8,27.03,304.6,10.2,22.9,3.5,6.9,760,10.4,14.6,9,15,658,0.601,1.52,0.601,4.8,10.5,353,0.461,0,0,0,0,0,0,0,0,0,0,0,0,171,2.34,3.29,0.65,43,0
0,36.1,0.617,6.5,25.2,9,17.4,13.2,26.71,349.3,11.6,26,2.7,6.2,713,8.9,11.8,9.3,16.7,747,0.564,1.56,0.56,7.3,9.9,583,0.733,0,0,0,0,0,0,0,0,0,0,0,0,130,1.63,2.16,0.47,27,0
3rd,38.7,0.578,11,26.2,4,24,14,26.14,332.5,11.1,26.1,1.2,8.5,757,9.7,12,8.5,18.5,663,0.47,1.41,0.49,7.9,9.1,615,0.869,1.2,3,91,0.399,0,0,0,0,97,1.24,1.54,0.44,119,1.53,1.89,0.54,37,0
0,42.4,0.554,20.6,28.8,4,17,10.2,25.74,399,13.3,27.2,1.4,6,588,7.4,8.3,9.9,21.1,795,0.499,1.29,0.504,6,8,477,0.75,1.4,4,108,0.351,577,7.2,8.2,2.2,177,2.21,2.51,1.21,0,0,0,0,25,4
0,32.9,0.599,17.5,20.4,8,15.7,11.7,24.44,130.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5,6.3,203,0.784,0,0,0,0,0,0,0,0,0,0,0,0,136,3.32,4.84,1.35,0,0
0,40.7,0.563,17.4,30,4,12.4,8.2,23.33,282.2,9.4,27.6,0,0,0,0,0,8.7,20.1,573,0.472,1.37,0.482,8.2,10.1,542,0.816,2,6,131,0.339,0,0,0,0,0,0,0,0,0,0,0,0,18,5
5th,42.3,0.532,19.2,32.7,2,8.9,5.3,23.27,327.2,10.9,30.7,0,0,0,0,0,10.3,24.2,771,0.451,1.27,0.453,8.7,10.5,656,0.835,1.4,5,104,0.308,596,7.9,9,1.73,180,2.4,2.72,1.29,0,0,0,0,24,0
0,30.6,0.614,4.2,23.6,10,21.4,15.9,23.25,224.5,7.5,18.3,2.6,5.8,669,8.4,13.1,6.7,12.2,538,0.552,1.5,0.552,4.9,6.2,389,0.783,0,0,0,0,0,0,0,0,0,0,0,0,160,2,3.14,0.54,24,0
0,38.6,0.561,20.8,29,5,10.8,7.8,23.2,301.1,10,24.1,0,0,0,0,0,8.2,17.1,630,0.485,1.41,0.483,7.5,9.9,581,0.762,0,0,0,0,520,6.8,8.4,1.62,121,1.57,1.95,0.53,82,1.06,1.32,0.36,0,0
0,40.8,0.526,17.5,29.1,3,14.8,8.9,22.97,317.5,10.6,25.7,0.9,5.3,484,6.2,7.3,9.2,21.3,715,0.468,1.21,0.473,5.5,7.1,431,0.774,1.8,6,142,0.326,448,5.7,6.8,2.23,135,1.73,2.04,0.81,0,0,0,0,0,0
0,34.8,0.52,6.6,32.3,7,23.3,15.1,22.97,136,4.5,0,0,0,0,0,0,8.8,19.4,386,0.454,1.25,0.453,6.7,8.9,295,0.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.7,0.541,14.6,30.2,4,14.1,9.1,22.92,272.7,9.1,24.5,0,0,0,0,0,9,20,696,0.463,1.22,0.493,4.8,6,367,0.798,1.6,4,127,0.406,327,4.2,5.6,1.95,109,1.42,1.85,0.45,0,0,0,0,0,0
0,32,0.582,12,23.8,9,18.7,13.7,22.55,142.4,4.7,0,0,0,0,0,0,6.4,12.4,357,0.517,1.43,0.514,5,6.6,282,0.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37,0.554,11.2,23.3,12,18.4,15.4,22.51,237.7,7.9,20,3.7,5.9,770,9.5,12.3,7.8,15.4,629,0.504,1.3,0.503,4.5,6,364,0.752,0,0,0,0,0,0,0,0,0,0,0,0,169,2.09,2.7,0.7,41,0
0,29.6,0.609,20.1,23.2,4,13.6,8.8,22.35,194.4,6.5,16,0,0,0,0,0,5,10.5,367,0.517,1.52,0.533,4.8,6,355,0.803,1.3,3,97,0.376,0,0,0,0,119,1.61,2.6,0.63,0,0,0,0,0,0
1st,34.3,0.606,41.6,22,2,7.6,5.2,22.04,226.8,7.6,15.5,0,0,0,0,0,5.7,11.4,430,0.526,1.36,0.557,2.8,3.2,211,0.887,1.3,3,94,0.431,861,11.5,16.1,3.51,0,0,0,0,0,0,0,0,49,1
0,40,0.575,27.3,24.6,2,7.1,4.4,21.97,283.2,9.4,21.7,0,0,0,0,0,7.4,16,604,0.497,1.36,0.506,5.6,6.7,458,0.834,1.4,4,115,0.354,668,8.1,9.8,2.87,122,1.49,1.78,0.66,0,0,0,0,24,0
0,36.1,0.583,16.6,24.6,3,17.8,10.6,21.83,252.9,8.4,21.6,1,5.6,539,6.6,8.7,6.8,14.9,556,0.481,1.45,0.499,6.7,8.1,549,0.822,1.3,4,108,0.37,348,4.2,5.6,1.51,133,1.62,2.16,0.52,0,0,0,0,0,0
