MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,40,0.52,24.7,27.2,2,7.4,4.6,21.03,242.6,8.1,22.3,0,0,0,0,0,8.3,18.9,671,0.472,1.18,0.468,4.6,5.8,375,0.803,0,0,0,0,654,8.1,9.7,2.49,108,1.33,1.6,0.54,0,0,0,0,23,0
0,29.1,0.568,21.2,22.9,5,23.2,14,21.02,66.2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27.7,0.577,39.9,20.8,3,7.7,5.4,20.68,167.7,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,7.7,13.3,3.46,137,1.67,2.89,0.74,0,0,0,0,15,0
0,36,0.57,12.7,22,7,19.9,13.7,20.66,201.6,6.7,19,2.3,6.4,720,8.8,11.7,6.9,13.6,569,0.514,1.39,0.51,5.1,6.9,416,0.736,0,0,0,0,0,0,0,0,0,0,0,0,148,1.8,2.41,0.67,32,0
0,29,0.57,10.7,20.4,10,22.6,16.3,20.2,170.7,5.7,0,2.4,5.8,675,8.2,13.6,0,0,0,0,0,0,3.7,4.5,301,0.811,0,0,0,0,0,0,0,0,0,0,0,0,147,1.79,2.96,0.64,27,0
0,37,0.491,14.4,26.5,3,16.7,9.7,20.14,211.2,7,20,0,0,0,0,0,8.3,18.6,679,0.45,1.07,0.45,0,0,0,0,0,0,0,0,0,0,0,0,123,1.5,1.95,0.72,0,0,0,0,0,0
0,38.1,0.566,12.9,22.2,7,17.8,12.5,20.09,197.8,6.6,19.9,2.2,6.2,677,8.4,10.5,7,14.6,566,0.485,1.36,0.487,5.6,6.7,455,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
0,34,0.6,10.1,20.2,3,14,8.7,20.04,174.5,5.8,19.2,0,0,0,0,0,6.9,14.4,497,0.545,1.33,0.556,0,0,0,0,2.2,6,155,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27.7,0.598,12.8,18.2,8,14.4,11.5,20.03,157.4,5.2,0,0,0,0,0,0,0,0,0,0,0,0,3.7,4.6,296,0.8,0,0,0,0,0,0,0,0,118,1.48,2.56,0.64,175,2.19,3.8,0.95,0,0
0,39.2,0.528,16.3,26,3,8.5,5.6,19.81,190.9,6.4,21.5,0,0,0,0,0,0,0,0,0,0,0,6.5,7.4,455,0.878,0,0,0,0,316,4.5,5.5,1.64,0,0,0,0,0,0,0,0,0,0
