PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
LeBron James,1st,37.9,0.64,23.3,28.2,4.4,20.8,13.1,31.67,909,30.3,26.8,1.3,6.8,610,8,10.2,10.1,17.8,765,0.602,1.5,0.603,5.3,7,403,0.753,1.4,3,103,0.406,551,7.3,9.2,2.44,129,1.7,2.15,1.17,67,0.88,1.12,0.61,36,4
Kevin Durant,2nd,38.5,0.647,15.5,27.4,1.8,20.3,11.8,28.35,830.8,27.7,28.1,0.6,7.3,640,7.9,9.8,9,17.7,731,0.539,1.59,0.559,8.4,9.3,679,0.905,1.7,4,139,0.416,374,4.6,5.8,1.34,116,1.43,1.79,0.81,105,1.3,1.62,0.73,19,3
Chris Paul,4th,33.4,0.594,36.9,23.9,2.8,10.5,6.7,26.43,537.7,17.9,16.9,0,0,0,0,0,5.9,12.2,412,0.538,1.39,0.526,4.1,4.6,286,0.885,0,0,0,0,678,9.7,13.9,4.26,169,2.41,3.47,1.18,0,0,0,0,31,0
Carmelo Anthony,3rd,37,0.56,8.3,32.2,6.1,15.9,10.8,24.83,530.8,17.7,28.7,0,0,0,0,0,10,22.2,669,0.476,1.29,0.502,6.3,7.6,425,0.83,2.3,6,157,0.379,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Brook Lopez,0,30.4,0.567,4.8,26.1,10.8,16.1,13.4,24.81,477.8,15.9,19.4,2.8,4.1,512,6.9,10.9,7.7,14.8,570,0.522,1.31,0.521,4,5.3,297,0.758,0,0,0,0,0,0,0,0,0,0,0,0,154,2.08,3.28,1.01,12,0
Tim Duncan,0,30.1,0.554,12.8,24.8,7.3,29.6,19.1,24.45,401.7,13.4,0,0,0,0,0,0,7.1,14.1,490,0.504,1.26,0.503,3.6,4.3,245,0.817,0,0,0,0,0,0,0,0,0,0,0,0,183,2.65,4.23,1.56,36,0
Dwyane Wade,0,34.7,0.571,19.3,27,4.7,12.6,8.9,24.04,483.1,16.1,21.2,0,0,0,0,0,8.2,15.8,569,0.537,1.34,0.528,4.5,6.2,308,0.725,0,0,0,0,0,0,0,0,128,1.86,2.57,0.91,0,0,0,0,0,0
Russell Westbrook,0,34.9,0.532,22.8,31.2,4.8,11.8,8.6,23.98,554.4,18.5,23.2,1.4,3.9,428,5.2,7.2,8.2,18.7,673,0.466,1.24,0.47,5.6,7,460,0.8,1.2,4,97,0.323,607,7.4,10.2,2.22,145,1.77,2.43,0.77,0,0,0,0,23,1
Tony Parker,0,32.9,0.588,27.6,26.6,1,9.1,5.3,23.1,392.7,13.1,0,0,0,0,0,0,7.9,15.1,519,0.534,1.35,0.534,4.2,5,279,0.845,0,0,0,0,499,7.6,11,2.94,0,0,0,0,0,0,0,0,17,1
Kobe Bryant,5th,38.6,0.57,17.9,30,2.5,13.1,7.9,23.1,566.4,18.9,27.3,0.8,4.7,433,5.6,6.9,9.5,20.4,738,0.51,1.34,0.504,6.7,8,525,0.839,1.7,5,132,0.324,469,6,7.5,1.63,106,1.36,1.69,0.61,0,0,0,0,16,2
James Harden,0,38.3,0.6,18.7,27.4,2.4,11.9,7.2,23,556.9,18.6,25.9,0.8,4.1,379,4.9,6.1,7.5,17.1,585,0.477,1.51,0.504,8.6,10.2,674,0.851,2.3,6,179,0.368,455,5.8,7.3,1.54,142,1.82,2.28,0.8,0,0,0,0,9,1
Blake Griffin,0,32.5,0.572,17.2,24,8.7,21.5,15.2,22.44,424.3,14.1,18,2.3,6,662,8.3,12.2,7.2,13.4,577,0.548,1.34,0.541,3.5,5.3,281,0.66,0,0,0,0,299,3.7,5.5,1.62,97,1.21,1.79,0.42,0,0,0,0,28,1
Amar'e Stoudemire,0,23.5,0.637,3.4,22.8,10,15.1,12.4,22.16,108.5,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andray Blatche,0,19,0.547,8.7,24.6,12.2,19.6,15.8,21.98,264,8.8,0,2,3.1,417,5.1,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1.05,2.65,0.53,0,0,0,0,0,0
Anthony Davis,0,28.8,0.559,6.8,19.9,10.5,23.5,16.8,21.8,283.8,9.5,0,0,0,0,0,0,0,0,0,0,0,0,2.6,3.5,169,0.751,0,0,0,0,0,0,0,0,0,0,0,0,112,1.75,2.91,0.71,20,0
