MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
1st,39,0.604,23.4,32.2,3,18.5,11.1,31.19,916,30.5,29.7,0.9,6.4,554,7.3,9,10.1,20.1,768,0.56,1.48,0.545,7.8,10.2,593,0.767,1.7,5,129,0.333,651,8.6,10.5,2.49,125,1.64,2.02,1.05,77,1.01,1.25,0.65,31,4
5th,36.3,0.562,19.5,33.2,4.5,11.1,7.9,28.1,733.4,24.4,26.6,1.4,3.5,373,4.8,6.4,9.3,19.6,719,0.509,1.35,0.5,6.9,9.1,534,0.761,0,0,0,0,501,6.5,8.6,1.99,142,1.84,2.44,0.78,82,1.06,1.41,0.45,17,0
2nd,39.5,0.607,9.1,29.3,3.8,17.9,11,26.23,760.6,25.4,30.1,1.3,6.3,623,7.6,9.2,9.7,20.3,794,0.506,1.48,0.514,9.2,10.2,756,0.9,1.6,4,128,0.365,0,0,0,0,112,1.37,1.66,0.65,84,1.02,1.24,0.49,25,0
0,36.1,0.592,9.5,25.9,9.9,25.2,17.7,25.11,513.2,17.1,24,2.9,7.9,759,10.8,14.4,8.6,16.5,600,0.521,1.45,0.522,6.7,8.4,470,0.797,0,0,0,0,0,0,0,0,0,0,0,0,68,0.97,1.29,0.4,49,0
0,31.3,0.56,15.1,24.4,10.8,26.8,18.9,24.79,516.2,17.2,17.9,2.8,7.3,788,10.1,15.5,7.2,13.9,561,0.522,1.29,0.519,3.5,4.8,271,0.725,0,0,0,0,246,3.2,4.8,1.76,0,0,0,0,117,1.5,2.3,0.77,38,0
4th,34.7,0.63,8.9,21.5,12,31.3,22,24.07,571.7,19.1,18.3,3.5,9.7,1082,13.2,18.3,6.2,10.2,510,0.617,1.8,0.612,5.9,10,483,0.592,0,0,0,0,0,0,0,0,75,0.91,1.27,0.26,228,2.78,3.85,0.79,64,0
0,38,0.584,36.6,23.3,1.3,11.9,6.5,23.74,325.6,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,10.7,13.5,4.29,0,0,0,0,0,0,0,0,23,1
0,23.9,0.647,8,18.9,15.7,28.3,21.9,23.14,94,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37.5,0.578,10.3,26.1,3.1,20.1,11.7,23.01,521.9,17.4,25,1,6.7,620,7.7,9.8,8.9,18.5,720,0.487,1.35,0.498,6.6,7.2,536,0.915,0,0,0,0,0,0,0,0,70,0.86,1.11,0.34,79,0.98,1.25,0.38,19,1
0,37,0.593,16,20.3,11.4,22.7,17.1,22.97,411.5,13.7,0,0,0,0,0,0,7,13,452,0.539,1.41,0.536,4.4,5.6,286,0.79,0,0,0,0,218,3.4,4.4,1.52,0,0,0,0,113,1.74,2.26,0.74,40,0
