MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
4th,40.4,0.568,19.4,32.7,5,17.8,11.1,29.15,842.6,28.1,30,1.8,6.1,592,7.9,9.4,10.6,21.9,794,0.531,1.37,0.518,7.3,10.3,549,0.712,1.5,5,113,0.315,539,7.2,8.5,2.11,138,1.84,2.19,0.84,81,1.08,1.28,0.49,31,7
2nd,37.6,0.576,35.7,27,2,10.3,6.2,28.39,780.1,26,21.1,0,0,0,0,0,7.9,16.1,630,0.516,1.3,0.524,4.2,4.9,332,0.851,1.2,3,92,0.369,925,11.6,14.8,4.6,217,2.71,3.47,1.17,0,0,0,0,56,1
0,33.9,0.656,6.5,24.7,8,21.1,15.2,27.29,631,21,25.2,2.3,6.8,719,9.1,12.9,9,15.3,714,0.601,1.64,0.592,7,8.7,556,0.805,0,0,0,0,0,0,0,0,0,0,0,0,163,2.06,2.92,0.55,36,0
3rd,32.8,0.588,16.1,23.7,7,25.1,16.7,25.42,483.5,16.1,18.8,1.9,7.3,655,9.2,13.5,7.5,13.9,534,0.545,1.35,0.539,3.8,4.7,269,0.801,0,0,0,0,244,3.4,5,1.77,100,1.41,2.06,0.61,89,1.25,1.84,0.55,29,0
0,36,0.585,13.4,26.7,4,22.8,13.8,24.78,549,18.3,23.6,1.2,7.3,659,8.6,11.4,8.2,17.1,630,0.504,1.38,0.51,6.2,7.1,478,0.879,0,0,0,0,266,3.5,4.6,1.66,0,0,0,0,0,0,0,0,25,1
0,36.2,0.588,10.7,25.1,8,20.1,14.2,24.23,460.9,15.4,22.3,0,0,0,0,0,7.6,15.3,507,0.496,1.46,0.499,7,8.3,472,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
1st,38.9,0.576,16.2,29.3,3,14.1,9,24.09,647.4,21.6,28.3,1.1,5.2,517,6.3,7.8,9.5,20.6,775,0.49,1.37,0.503,7.6,9,623,0.84,1.8,5,150,0.361,441,5.4,6.6,1.72,151,1.84,2.27,0.67,0,0,0,0,20,0
0,31,0.612,19.4,27,3,14.7,9.1,24.07,464.2,15.5,19.5,0.9,3.9,354,4.8,7.4,6.1,13.3,453,0.499,1.47,0.54,5.1,6,380,0.86,2.1,5,156,0.401,332,4.5,7,1.66,109,1.47,2.28,0.63,0,0,0,0,0,0
0,34,0.546,12.3,25.7,11,28.3,19.6,24.05,532.3,17.7,19.3,3,8.3,881,11.3,16,7.5,15.1,585,0.498,1.28,0.497,4.3,5.9,338,0.73,0,0,0,0,218,2.8,3.9,1.22,0,0,0,0,152,1.95,2.75,0.82,53,0
0,32.3,0.619,30.1,23.5,2,8.1,5,23.48,469.8,15.7,17,0,0,0,0,0,5,11.2,393,0.479,1.51,0.526,5.1,5.6,401,0.918,1.8,4,137,0.401,529,6.8,10.1,3.31,101,1.29,1.92,0.78,0,0,0,0,13,0
0,35.6,0.535,6.2,25.1,12,24.7,18.1,22.84,533.1,17.8,21,3.8,7.4,911,11.1,15,8.8,17.6,721,0.502,1.2,0.5,3.5,4.8,284,0.721,0,0,0,0,0,0,0,0,0,0,0,0,119,1.45,1.96,0.54,55,0
5th,37.7,0.619,6.3,21.4,11,31.6,21.7,22.61,553.7,18.5,20.7,3.4,10.8,1161,14.2,18,7.1,11.9,583,0.601,1.74,0.599,6.5,10.9,529,0.59,0,0,0,0,0,0,0,0,0,0,0,0,176,2.15,2.74,0.64,69,0
0,37.2,0.587,9.6,25.1,10,22.9,16.4,22.55,364.7,12.2,0,0,0,0,0,0,7.9,15.5,432,0.508,1.42,0.507,6.3,7.4,345,0.85,0,0,0,0,0,0,0,0,0,0,0,0,111,2.02,2.61,0.65,33,0
0,28.8,0.659,13.2,16.2,12,26.5,19.6,22.19,174.3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
0,34.9,0.581,12.2,24.7,9,27.7,18.3,21.83,435.9,14.5,21.1,2.4,8,844,10.4,14.3,8.8,16,709,0.547,1.32,0.547,3.6,4.9,290,0.738,0,0,0,0,233,2.9,4,1.11,100,1.23,1.7,0.34,0,0,0,0,51,1
0,38.3,0.549,20.6,31.2,3,10.6,6.6,21.71,327,10.9,0,0,0,0,0,0,8.6,18.4,439,0.485,1.34,0.48,6.9,9.2,354,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
0,36.3,0.618,9,23.6,3,11.7,7.3,21.51,364.1,12.1,23.7,0,0,0,0,0,6.8,15,417,0.478,1.58,0.515,8.2,9.5,502,0.869,1.8,4,107,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35.6,0.594,15.2,20,8,18.3,13.1,21.42,348,11.6,0,0,0,0,0,0,7.2,13.5,475,0.539,1.4,0.536,4.4,5.5,292,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
0,16.9,0.641,6.7,17.3,16,17.4,16.5,21.41,105.2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.4,0.568,11.5,27.5,7,14.9,11,21.29,451.9,15.1,25.7,2.3,5.1,571,7.4,9.8,9.5,19.2,728,0.509,1.34,0.511,6,7.7,464,0.786,0,0,0,0,259,3.4,4.4,1.02,98,1.27,1.68,0.39,0,0,0,0,22,0
0,41.8,0.567,21.4,25.4,2,6.1,3.8,21.06,539.4,18,26.4,0,0,0,0,0,8.7,19,712,0.482,1.39,0.488,7.9,9.7,645,0.809,1.2,3,95,0.345,586,7.1,8.2,2.39,160,1.95,2.24,1.47,0,0,0,0,15,0
0,14.4,0.629,3.6,20.2,15,18.3,16.7,21.04,115.2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34.3,0.641,39.7,22.9,1,9.6,5.7,21.04,416.5,13.9,16.9,0,0,0,0,0,6,11.9,485,0.527,1.43,0.597,2.7,3,222,0.906,2.2,5,179,0.47,898,11.1,15.5,3.04,0,0,0,0,0,0,0,0,48,0
0,30.3,0.607,43.4,18.3,2,9.7,5.6,20.77,362,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,8.3,13.1,5.38,87,1.06,1.68,0.65,0,0,0,0,25,0
0,23.5,0.533,31.5,26.8,2,7.6,4.9,20.76,174.6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37.3,0.595,35.3,24.2,1,8.3,4.9,20.75,444.9,14.8,18.8,0,0,0,0,0,6.9,13.6,566,0.533,1.38,0.544,4,5,330,0.803,1,3,83,0.395,862,10.5,13.5,3.09,90,1.1,1.41,0.45,0,0,0,0,52,0
0,39.9,0.558,19,23.2,5,15.3,9.8,20.59,348.6,11.6,0,0,0,0,0,0,7.6,16.3,439,0.492,1.25,0.501,4.1,4.5,236,0.901,0,0,0,0,0,0,0,0,128,2.21,2.66,0.8,0,0,0,0,9,3
0,38.7,0.525,6.5,23.7,8,23.2,15.4,20.19,396.8,13.2,21.4,2.7,7.5,806,10.2,12.6,7.8,17.9,618,0.468,1.19,0.478,4.2,5.5,333,0.76,1.5,4,120,0.339,0,0,0,0,106,1.34,1.66,0.54,0,0,0,0,44,0
0,37.8,0.535,9.8,24.1,7,20.6,13.7,19.98,363.4,12.1,20.6,2.4,6.5,675,8.9,11.3,8.3,17.2,629,0.487,1.2,0.484,3.9,4.6,300,0.85,0,0,0,0,177,2.3,3,1.07,0,0,0,0,99,1.3,1.66,0.48,29,0
0,35.9,0.599,19.2,23.4,2,14,8.5,19.85,401.2,13.4,19.6,0.7,4.5,411,5.1,6.9,6.4,13.7,509,0.499,1.43,0.529,5.1,6.1,409,0.843,1.8,5,143,0.392,363,4.5,6.1,1.64,101,1.26,1.69,0.51,0,0,0,0,7,0
0,39,0.523,24.3,25.2,3,10.1,6.4,19.85,422.2,14.1,21.8,0,0,0,0,0,7.9,18.6,650,0.477,1.17,0.483,3.9,5.2,318,0.75,2.1,6,173,0.33,623,7.6,9.4,2.69,191,2.33,2.87,0.77,0,0,0,0,18,3
0,33.5,0.542,23.2,27,2,9.6,5.6,19.83,304.7,10.2,0,0,0,0,0,0,7.5,15.1,515,0.51,1.24,0.502,3.6,5,248,0.715,0,0,0,0,411,6,8.5,2.51,0,0,0,0,0,0,0,0,0,0
0,35.5,0.52,14.7,23.6,7,20.4,13.5,19.32,335.2,11.2,17.2,2,6.2,667,8.2,11.1,6.4,14,518,0.477,1.23,0.468,4.1,5.8,333,0.71,0,0,0,0,272,3.4,4.5,1.11,123,1.52,2.05,0.46,227,2.8,3.79,0.84,19,1
0,38.1,0.535,13.8,23.5,6,12.1,8.9,19.27,284.3,9.5,0,0,0,0,0,0,7.6,16.9,436,0.475,1.21,0.497,3.7,5.2,212,0.719,1.5,4,84,0.38,0,0,0,0,133,2.33,2.94,0.84,0,0,0,0,0,0
0,37.7,0.531,22.6,24.2,3,11.2,7.3,19.27,365.5,12.2,19.1,0,0,0,0,0,7.2,15.8,531,0.48,1.21,0.485,3.8,5,281,0.753,0,0,0,0,430,5.8,7.4,3.16,79,1.07,1.36,0.54,0,0,0,0,10,1
0,35.7,0.595,11.2,25.1,4,14.7,9.1,19.14,322.6,10.8,22.1,1.1,4.5,394,5.6,7.6,6.5,14.3,458,0.477,1.55,0.497,7.9,9.7,553,0.812,0,0,0,0,189,2.7,3.6,0.97,71,1.01,1.36,0.34,0,0,0,0,0,0
0,36.7,0.57,12.8,18.9,7,23.6,15.6,19.1,297,9.9,0,0,0,0,0,0,6.3,12.5,400,0.567,1.24,0.55,0,0,0,0,0,0,0,0,0,0,0,0,125,1.98,2.59,0.83,0,0,0,0,32,0
0,39.5,0.543,18.6,23.2,3,13.4,8.2,19.09,415.8,13.9,19.9,1,4.4,446,5.4,6.6,7.1,15.6,582,0.496,1.28,0.495,4.5,6.2,365,0.721,1.2,4,101,0.329,391,4.8,5.8,1.83,171,2.09,2.53,0.91,0,0,0,0,8,0
0,37.5,0.559,13.1,25.8,4,10.2,6.7,19.09,346.5,11.5,22.7,0,0,0,0,0,7.6,17.3,550,0.475,1.31,0.495,5.6,6.8,402,0.82,1.8,5,130,0.362,247,3.4,4.4,1.36,65,0.9,1.15,0.54,0,0,0,0,0,0
0,27.3,0.637,9.6,13.2,13,26.1,19.1,19.01,260.7,8.7,0,3.4,6.4,744,9.8,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.24,2.17,0.36,27,0
