PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
LeBron James,1st,37.5,0.605,19.4,29.8,5,19.7,12.6,30.8,704.8,23.5,27.1,1.5,6.4,492,7.9,10.2,10,18.9,621,0.556,1.44,0.554,6.2,8.1,387,0.771,0,0,0,0,387,6.2,8,1.82,115,1.85,2.37,1.2,0,0,0,0,23,0
Chris Paul,3rd,36.4,0.581,32.1,24.9,2.3,9.4,5.8,27.09,523.7,17.5,19.8,0,0,0,0,0,7.1,14.8,425,0.511,1.34,0.522,4.3,5,260,0.861,1.3,4,79,0.371,543,9.1,12,4.38,152,2.53,3.35,1.1,0,0,0,0,23,0
Dwyane Wade,0,33.2,0.559,17,28.9,5.6,11.6,8.7,26.37,385,12.8,0,0,0,0,0,0,8.5,17.1,416,0.513,1.29,0.506,4.8,6.1,235,0.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Durant,2nd,38.6,0.61,11.6,28.4,1.9,20.4,11.8,26.26,598.9,20,28,0.6,7.4,527,8,9.9,9.7,19.7,643,0.535,1.43,0.547,6.5,7.6,431,0.86,2,5,133,0.387,231,3.5,4.4,0.93,88,1.33,1.66,0.66,77,1.17,1.45,0.58,18,0
Kevin Love,0,39,0.568,7.4,26,11.6,26.4,19,25.41,445.4,14.8,26,4.1,9.2,734,13.3,16.4,8.6,19.3,474,0.475,1.35,0.497,6.9,8.4,379,0.824,1.9,5,105,0.372,0,0,0,0,0,0,0,0,0,0,0,0,48,0
Dwight Howard,0,38.3,0.569,8.3,23.6,11,33.1,21.9,24.29,423,14.1,0,3.7,10.8,785,14.5,18.2,7.7,13.4,416,0.579,1.53,0.573,5.2,10.6,281,0.491,0,0,0,0,0,0,0,0,0,0,0,0,116,2.15,2.69,0.73,43,0
Manu Ginobili,0,23.3,0.668,27.7,22.1,2.7,13.9,8.4,24.18,161.7,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Griffin,0,36.2,0.557,13.2,24.7,10.7,25.1,17.8,23.5,428.3,14.3,20.7,3.3,7.6,717,10.9,14.4,8.5,15.5,561,0.556,1.34,0.55,3.7,7.1,244,0.521,0,0,0,0,210,3.2,4.2,1.4,54,0.82,1.08,0.25,0,0,0,0,41,0
Derrick Rose,0,35.3,0.532,25,30.4,2.2,8.4,5.3,23.1,248.4,8.3,0,0,0,0,0,0,7.7,17.8,302,0.475,1.23,0.473,5,6.1,194,0.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Russell Westbrook,0,35.3,0.538,17.7,30.4,5,9.4,7.4,23,417.6,13.9,23.6,0,0,0,0,0,8.8,19.2,578,0.482,1.23,0.481,5.2,6.3,340,0.823,0.9,3,62,0.316,362,5.5,7.5,1.51,112,1.7,2.31,0.76,0,0,0,0,7,0
Andrew Bynum,0,35.2,0.594,7.2,21.5,10.6,26.1,18.7,23,390.9,13,18.7,3.2,8.6,709,11.8,16.1,7.4,13.3,444,0.56,1.41,0.558,3.9,5.6,234,0.692,0,0,0,0,0,0,0,0,0,0,0,0,116,1.93,2.64,1.12,37,0
Al Jefferson,0,34,0.52,10.1,23.7,7.3,25.3,16.2,22.88,380.3,12.7,19.2,2.2,7.4,585,9.6,13.5,8.5,17.2,516,0.493,1.12,0.493,0,0,0,0,0,0,0,0,134,2.2,3.1,2.16,0,0,0,0,101,1.66,2.34,0.65,31,0
LaMarcus Aldridge,0,36.3,0.56,10.2,24.5,8.6,17.5,12.9,22.73,334.2,11.1,21.7,0,0,0,0,0,8.8,17.1,483,0.516,1.26,0.513,4.1,5,223,0.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Tim Duncan,0,28.2,0.531,12.3,23.7,7.9,28.2,18.3,22.6,292.6,9.8,15.4,1.9,7.1,520,9,15.3,6.2,12.6,361,0.495,1.22,0.492,3,4.3,173,0.695,0,0,0,0,132,2.3,3.9,1.36,0,0,0,0,88,1.52,2.59,0.9,22,0
Greg Monroe,0,31.5,0.563,12.5,21.8,13.3,23.6,18.3,22.09,357.1,11.9,15.4,3.6,6,637,9.7,14.7,6.2,11.8,407,0.522,1.3,0.521,3,4.1,201,0.739,0,0,0,0,152,2.3,3.5,0.94,83,1.26,1.91,0.46,0,0,0,0,30,0
Tony Parker,5th,32.1,0.539,28.4,27.1,1.3,8.7,5.1,22.04,317,10.6,18.3,0,0,0,0,0,7.1,14.8,427,0.498,1.23,0.488,3.8,4.7,227,0.799,0,0,0,0,463,7.7,11.6,3.03,57,0.95,1.42,0.76,0,0,0,0,12,0
Kobe Bryant,4th,38.5,0.527,13.2,33,3.5,11.8,7.8,21.95,381.5,12.7,27.9,1.1,4.3,313,5.4,6.7,9.9,23,574,0.464,1.21,0.462,6.6,7.8,381,0.845,1.5,5,87,0.303,264,4.6,5.7,1.29,69,1.19,1.48,0.66,0,0,0,0,0,0
Kenneth Faried,0,22.5,0.618,7.6,16.7,16.5,22.9,19.8,21.94,172.3,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Paul Millsap,0,32.8,0.545,12.1,21.6,9.7,21.2,15.4,21.85,324.5,10.8,16.6,2.8,6,563,8.8,12.9,6.7,13.5,426,0.505,1.23,0.499,3.2,4,202,0.792,0,0,0,0,150,2.3,3.4,1.34,118,1.84,2.7,0.53,0,0,0,0,21,0
Dirk Nowitzki,0,33.5,0.564,9.4,26.1,2.5,20,11.3,21.81,319.8,10.7,21.6,0.7,6,419,6.8,9.7,7.6,16.7,473,0.481,1.3,0.495,5.1,5.7,318,0.896,1.3,3,78,0.368,136,2.2,3.1,1.16,0,0,0,0,0,0,0,0,11,0
DeMarcus Cousins,0,30.5,0.499,7.1,27,14.2,25.9,19.8,21.72,297.4,9.9,18.1,4.1,6.8,703,11,17.3,7,15.6,448,0.453,1.16,0.449,4.1,5.8,262,0.702,0,0,0,0,0,0,0,0,93,1.45,2.29,0.36,75,1.17,1.85,0.29,36,0
Brandan Wright,0,16.1,0.632,4.3,14.9,8.9,15.8,12.4,21.66,119.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrie Irving,0,30.5,0.566,21.7,27.8,3.1,11.2,7,21.49,243.9,8.1,0,0,0,0,0,0,6.9,14.6,350,0.491,1.26,0.517,3.4,3.8,171,0.872,1.4,4,73,0.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Pekovic,0,26.9,0.607,4.7,19.6,15.8,14.6,15.2,21.47,205.1,6.8,0,0,0,0,0,0,5.4,9.7,256,0.564,1.43,0.564,3,4,139,0.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Stephen Curry,0,28.2,0.605,26.6,23.1,2.3,11.3,6.8,21.23,111.8,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
