PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
Dirk Nowitzki,3rd,38.1,0.589,10.2,27.5,5,23.5,14.2,28.2,769.9,25.7,26.6,1.4,7.6,728,9,11.3,9.3,19.3,751,0.496,1.38,0.515,6.7,7.4,539,0.901,1.4,3,110,0.406,0,0,0,0,0,0,0,0,83,1.02,1.29,0.51,35,0
LeBron James,2nd,42.5,0.568,17.6,31.4,3,17.1,9.8,28.17,886.4,29.5,31.4,0.9,6.1,556,7,7.9,11.1,23.1,875,0.518,1.36,0.515,7.6,10.3,601,0.738,1.6,5,127,0.335,521,6.6,7.4,2,123,1.56,1.76,0.68,66,0.84,0.94,0.36,21,5
Kobe Bryant,4th,41,0.559,11.5,35.3,3,12.7,7.6,28.11,861.2,28.7,35.4,0.9,4.4,425,5.3,6.2,12.2,27.2,978,0.482,1.3,0.491,8.7,10.2,696,0.85,2.3,6,180,0.347,360,4.5,5.3,1.44,147,1.84,2.15,0.63,0,0,0,0,0,0
Dwyane Wade,0,38.6,0.577,19.8,30.1,5,12.6,8.7,27.68,741.6,24.7,27.2,1.4,4.3,430,5.7,7.1,9.3,18.8,699,0.513,1.44,0.499,8.4,10.7,629,0.783,0,0,0,0,503,6.7,8.3,1.88,146,1.95,2.42,0.67,0,0,0,0,16,2
Kevin Garnett,0,38.9,0.589,16.3,23.3,9,29.7,19.6,26.88,678.8,22.6,21.8,2.8,9.9,966,12.7,15.7,8.2,15.7,626,0.532,1.39,0.529,5.2,6.4,396,0.81,0,0,0,0,0,0,0,0,104,1.37,1.69,0.5,107,1.41,1.74,0.52,62,0
Elton Brand,0,39.2,0.58,10.1,24.6,9,19.9,14.8,26.67,701.6,23.4,24.7,3,7,790,10,12.2,9.6,18.2,756,0.527,1.36,0.527,5.6,7.2,440,0.775,0,0,0,0,0,0,0,0,81,1.03,1.25,0.36,201,2.54,3.11,0.89,45,0
Allen Iverson,0,43.1,0.543,17.9,32.9,2,7.1,4.4,26.02,718.8,24,33,0,0,0,0,0,11.3,25.3,815,0.465,1.3,0.467,9.4,11.5,675,0.814,1,3,72,0.323,532,7.4,8.2,2.15,140,1.94,2.17,1.16,0,0,0,0,18,0
Yao Ming,0,34.2,0.592,6.5,26.4,9,25.7,17.5,25.78,441.7,14.7,0,0,0,0,0,0,8.2,15.8,467,0.519,1.41,0.519,5.9,6.9,337,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
Shaquille O'Neal,0,30.6,0.586,8.8,26.6,12,23.1,17.6,24.47,373.8,12.5,0,0,0,0,0,0,8.1,13.6,480,0.6,1.48,0.6,3.7,8,221,0.469,0,0,0,0,0,0,0,0,0,0,0,0,104,1.76,2.76,0.45,24,1
Gilbert Arenas,0,42.3,0.581,17.3,28.7,2,7.8,4.8,23.87,650.1,21.7,29.3,0,0,0,0,0,9.3,20.9,746,0.485,1.41,0.507,8.2,10,655,0.82,2.5,7,199,0.369,484,6.1,6.9,1.63,161,2.01,2.28,0.56,0,0,0,0,9,0
