PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
Dwyane Wade,0,37.9,0.583,21.4,32.7,3,11.2,7.3,29.04,534.4,17.8,0,0,0,0,0,0,9.3,18.9,472,0.511,1.45,0.502,8.5,10.5,432,0.807,0,0,0,0,384,7.5,9.5,1.78,107,2.1,2.66,0.91,0,0,0,0,15,0
Dirk Nowitzki,1st,36.2,0.605,13.1,26.8,5,23.9,14.8,27.7,682,22.7,24.6,1.6,7.3,693,8.9,11.8,8.6,17.2,673,0.515,1.43,0.529,6.4,7.1,498,0.904,0,0,0,0,263,3.4,4.5,1.57,0,0,0,0,62,0.79,1.06,0.36,41,0
Yao Ming,0,33.8,0.601,7.5,29.9,7,24.7,16,26.54,386.4,12.9,0,0,0,0,0,0,8.8,17.1,423,0.518,1.47,0.516,7.4,8.6,356,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Tim Duncan,4th,34.1,0.579,14.5,25.5,10,26.9,18.7,26.2,634.5,21.2,20,2.7,7.9,846,10.6,14.9,7.7,14.1,618,0.55,1.41,0.547,4.5,7.1,362,0.637,0,0,0,0,273,3.4,4.8,1.22,0,0,0,0,190,2.38,3.35,0.94,45,0
Kobe Bryant,3rd,40.8,0.58,14.9,31.1,3,13.5,8.2,26.13,732.5,24.4,31.6,1,4.7,439,5.7,6.7,10.6,22.8,813,0.497,1.38,0.502,8.7,10,667,0.868,1.8,5,137,0.344,413,5.4,6.3,1.62,111,1.44,1.7,0.54,0,0,0,0,10,0
LeBron James,5th,40.9,0.552,17.7,29.6,3,16.5,9.6,24.56,669.3,22.3,27.3,1.1,5.7,526,6.7,7.9,9.9,20.8,772,0.513,1.32,0.507,6.3,9,489,0.698,1.3,4,99,0.319,470,6,7.1,1.88,125,1.6,1.88,0.73,0,0,0,0,16,1
Pau Gasol,0,36.2,0.593,14.4,23.3,8,24.2,16.3,24.22,405,13.5,0,0,0,0,0,0,7.8,14.5,462,0.542,1.43,0.54,5.1,6.8,299,0.748,0,0,0,0,201,3.4,4.5,1.24,0,0,0,0,126,2.14,2.84,0.92,33,1
Kevin Garnett,0,39.4,0.546,15.1,25.2,7,30.8,19.5,24.2,567.8,18.9,22.4,2.4,10.4,975,12.8,15.6,8.4,17.6,638,0.487,1.27,0.48,5.5,6.6,416,0.835,0,0,0,0,313,4.1,5,1.53,89,1.17,1.43,0.48,126,1.66,2.02,0.68,66,3
Manu Ginobili,0,27.5,0.609,18.3,25.1,4,15.1,9.6,24.18,420.6,14,0,0,0,0,0,0,5.3,11.4,396,0.505,1.45,0.539,4.3,5,320,0.86,1.7,4,128,0.396,263,3.5,6.1,1.68,109,1.45,2.54,0.7,0,0,0,0,0,0
Carlos Boozer,0,34.6,0.588,12.8,24.8,11,29.9,20.5,24.11,481.2,16,20.9,3.2,8.5,867,11.7,16.3,8.7,15.6,647,0.561,1.34,0.561,3.4,5,255,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
Gilbert Arenas,0,39.8,0.565,17.4,29.8,2,11.1,6.6,24.07,573.9,19.1,28.4,0.8,3.7,338,4.6,5.5,8.7,20.9,647,0.459,1.36,0.484,8.2,9.7,606,0.844,2.8,8,205,0.351,443,6,7.2,1.88,139,1.88,2.27,0.56,0,0,0,0,10,0
Steve Nash,2nd,35.3,0.654,39.3,23.8,1,9.9,5.8,23.87,515.3,17.2,18.6,0,0,0,0,0,6.8,12.8,517,0.575,1.45,0.613,2.9,3.3,222,0.899,2.1,5,156,0.455,884,11.6,15.8,3.08,0,0,0,0,0,0,0,0,53,0
Tracy McGrady,0,35.8,0.515,19.4,32.9,3,14.5,8.6,23.28,484.5,16.1,24.6,0.8,4.5,378,5.3,7.1,9,20.8,638,0.466,1.18,0.474,4.9,6.9,345,0.707,1.8,5,126,0.331,458,6.5,8.7,2.15,92,1.3,1.74,0.68,0,0,0,0,15,0
Elton Brand,0,38.5,0.581,12.7,22.3,11,18.4,14.5,23.17,536.1,17.9,20.5,3.4,6,744,9.3,11.6,8.1,15.1,645,0.532,1.36,0.533,4.4,5.8,351,0.761,0,0,0,0,0,0,0,0,0,0,0,0,179,2.24,2.79,0.75,38,0
Amar'e Stoudemire,0,32.8,0.637,5.2,22.5,10,23.2,17,23.15,467.6,15.6,20.4,2.7,6.9,786,9.6,14,7.4,12.9,607,0.577,1.58,0.575,5.6,7.1,457,0.781,0,0,0,0,0,0,0,0,0,0,0,0,110,1.34,1.96,0.37,46,0
Zach Randolph,0,35.7,0.537,7.9,30.1,10,25.5,17.6,22.81,409.4,13.6,23.6,0,0,0,0,0,8.8,18.9,600,0.473,1.25,0.472,5.8,7.1,394,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
Chris Bosh,0,38.5,0.577,10.2,23.9,8,24.8,16.4,22.72,445.3,14.8,22.6,0,0,0,0,0,7.9,15.9,543,0.501,1.43,0.502,6.7,8.6,463,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
Michael Redd,0,38.4,0.586,8.5,26.7,2,9,5.7,22.3,358.7,12,26.7,0,0,0,0,0,9,19.3,477,0.501,1.38,0.522,6.5,7.8,345,0.829,2.2,6,117,0.382,0,0,0,0,63,1.19,1.49,0.81,0,0,0,0,0,0
Carmelo Anthony,0,38.2,0.552,11.4,30.7,7,11.1,8.9,22.2,434,14.5,28.9,0,0,0,0,0,10.6,22.4,691,0.499,1.29,0.489,7.1,8.7,459,0.808,0,0,0,0,249,3.8,4.8,1.06,77,1.18,1.49,0.38,0,0,0,0,0,0
Chris Paul,0,36.8,0.537,32.4,23.8,3,11.3,6.9,22,386.3,12.9,0,0,0,0,0,0,6,13.6,381,0.455,1.27,0.466,4.6,5.6,292,0.818,0,0,0,0,569,8.9,11.6,3.53,118,1.84,2.41,0.77,0,0,0,0,27,1
Vince Carter,0,38.1,0.559,16,28.4,4,14.2,9.3,21.86,529.9,17.7,25.2,1.4,4.6,492,6,7.6,8.9,19.5,726,0.491,1.3,0.503,5.6,7,462,0.802,1.9,5,156,0.357,393,4.8,6,1.81,82,1,1.26,0.31,0,0,0,0,13,2
Shaquille O'Neal,0,28.4,0.567,10.1,26.4,10,20.3,15.5,21.85,190.5,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Paul Pierce,0,37,0.571,14.1,28.5,3,16.8,9.5,21.73,291.5,9.7,0,0,0,0,0,0,7.9,18.1,373,0.463,1.38,0.502,6.8,8.6,320,0.796,2.3,6,107,0.389,194,4.1,5.4,1.28,48,1.02,1.32,0.39,0,0,0,0,0,0
Ray Allen,0,40.3,0.564,13.6,27.3,3,10.4,6.7,21.7,370.8,12.4,26.4,0,0,0,0,0,9.2,21,505,0.479,1.26,0.51,5.1,5.6,279,0.903,3,8,165,0.372,228,4.1,4.9,1.48,82,1.49,1.77,0.73,0,0,0,0,0,0
Tony Parker,0,32.5,0.572,22.6,25.9,2,10,6,21.46,390.1,13,18.6,0,0,0,0,0,7.4,14.2,570,0.525,1.3,0.527,3.6,4.5,274,0.783,0,0,0,0,420,5.5,8.1,2.2,82,1.06,1.58,0.6,0,0,0,0,0,0
Chauncey Billups,0,36.2,0.591,30.4,21.8,1,10,5.5,21.38,392.4,13.1,17,0,0,0,0,0,0,0,0,0,0,0,5.5,6.2,386,0.883,1.6,5,109,0.345,502,7.2,9.5,3.59,84,1.2,1.59,0.52,0,0,0,0,16,0
Dwight Howard,0,36.9,0.619,9.6,20.8,12,28.9,20.5,21.19,477.7,15.9,17.6,3.5,8.8,1008,12.3,16,6.4,10.6,526,0.603,1.65,0.603,4.8,8.1,390,0.586,0,0,0,0,0,0,0,0,0,0,0,0,156,1.9,2.48,0.64,60,0
Baron Davis,0,35.3,0.53,26.9,26,2,11.3,6.8,21.02,332.3,11.1,0,0,0,0,0,0,7.2,16.3,452,0.489,1.23,0.48,4.4,5.9,275,0.745,1.3,4,85,0.304,509,8.1,11,2.64,135,2.14,2.92,0.75,0,0,0,0,20,1
Shawn Marion,0,37.6,0.594,9.4,17.1,7,22.6,15.2,20.87,465.7,15.5,17.5,2.2,7.7,785,9.8,12.5,7,13.4,561,0.587,1.31,0.561,2.5,3.1,201,0.81,0,0,0,0,0,0,0,0,156,1.95,2.49,0.72,122,1.53,1.95,0.56,37,0
Rashard Lewis,0,39.1,0.587,10.3,22.3,5,15.7,10.1,20.78,325.1,10.8,0,0,0,0,0,0,7.7,16.8,463,0.505,1.34,0.536,4.4,5.3,265,0.841,2.5,6,151,0.39,0,0,0,0,68,1.13,1.39,0.48,0,0,0,0,13,0
David Lee,0,29.8,0.652,15.5,14.1,14,27.6,20.7,20.31,250.7,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
Emeka Okafor,0,34.8,0.554,7.5,17.3,13,26.2,19.2,20.15,332,11.1,0,0,0,0,0,0,5.9,11,394,0.532,1.3,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2.57,3.54,0.82,39,0
Kevin Martin,0,35.2,0.614,10.6,20.8,3,11.6,7.1,20.12,404.7,13.5,20.2,0,0,0,0,0,6.3,13.3,505,0.515,1.52,0.533,6,7.1,481,0.844,1.6,4,127,0.381,0,0,0,0,98,1.23,1.67,0.54,0,0,0,0,0,0
Josh Howard,0,35.1,0.548,8.7,22.9,7,16.5,11.6,20.02,348.9,11.6,18.9,1.9,4.9,475,6.8,9.3,7,15.4,493,0.48,1.23,0.501,3.5,4.2,243,0.827,1.3,3,92,0.385,0,0,0,0,82,1.17,1.6,0.46,56,0.8,1.09,0.31,13,0
Al Jefferson,0,33.6,0.547,7.1,20.3,12,27.4,19.5,19.9,321.9,10.7,0,0,0,0,0,0,6.6,12.8,453,0.514,1.26,0.514,2.9,4.3,201,0.681,0,0,0,0,0,0,0,0,0,0,0,0,106,1.54,2.19,0.46,38,0
Gerald Wallace,0,36.7,0.568,12.4,20.7,6,17.4,11.6,19.83,367.5,12.3,18.1,2,5.2,518,7.2,9.4,6.6,13.2,478,0.528,1.37,0.523,4.3,6.2,309,0.691,0,0,0,0,0,0,0,0,144,2,2.62,0.69,69,0.96,1.25,0.33,16,0
Allen Iverson,0,42.5,0.54,20.2,25.9,1,7.1,4,19.61,375.3,12.5,26.3,0,0,0,0,0,8.9,20.2,581,0.465,1.3,0.466,7.5,9.4,485,0.795,0,0,0,0,468,7.2,8.1,1.75,123,1.89,2.14,1.29,0,0,0,0,17,0
Joe Johnson,0,41.4,0.558,14.6,26.6,3,9.6,6.1,19.56,319,10.6,25,0,0,0,0,0,9.4,20,536,0.504,1.25,0.523,4.1,5.5,235,0.748,2.1,5,119,0.381,249,4.4,5.1,1.41,60,1.05,1.22,0.52,0,0,0,0,0,0
Jason Kidd,0,36.7,0.516,37.6,20.2,5,20.8,13.2,19.47,370.6,12.4,0,1.7,6.5,655,8.2,10.7,4.6,11.4,369,0.448,1.15,0.475,0,0,0,0,1.6,5,124,0.343,736,9.2,12,3.46,127,1.59,2.08,0.87,0,0,0,0,32,12
Sean May,0,23.9,0.551,13.2,21.7,10,23.4,16.5,19.22,96.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Calderon,0,21,0.588,36.3,19.9,2,8.3,4.9,19.19,197.2,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,5,11.5,3.52,0,0,0,0,0,0,0,0,0,0
Marcus Camby,0,33.8,0.519,20.3,15.1,8,30.5,19.4,19.1,268.7,9,0,2.3,9.3,816,11.7,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.24,1.76,0.48,231,3.3,4.68,1.26,32,0
David West,0,36.5,0.532,10.3,22,7,18.5,12.9,18.99,212.5,7.1,0,0,0,0,0,0,7.3,15.2,377,0.481,1.2,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Jason Terry,0,35.1,0.587,24.5,20.8,2,7.9,4.9,18.97,359.9,12,16.7,0,0,0,0,0,6.3,13.1,514,0.508,1.27,0.56,0,0,0,0,2,5,162,0.438,422,5.2,7.1,2.78,81,1,1.37,0.48,0,0,0,0,0,0
Jermaine O'Neal,0,35.6,0.5,9.8,25.8,7,24.3,15.5,18.86,303.1,10.1,0,0,0,0,0,0,7.2,16.5,498,0.439,1.17,0.436,5,6.5,343,0.767,0,0,0,0,0,0,0,0,0,0,0,0,182,2.64,3.55,0.78,34,0
Luol Deng,0,37.5,0.56,11.8,20.4,6,15.9,10.7,18.79,379.9,12.7,18.8,1.8,5.3,579,7.1,9,7.7,14.9,630,0.519,1.26,0.518,3.4,4.4,279,0.777,0,0,0,0,0,0,0,0,97,1.18,1.52,0.58,0,0,0,0,17,0
Corey Maggette,0,30.5,0.583,13.9,23.9,5,18.2,11.5,18.67,279.3,9.3,16.9,1.2,4.7,442,5.9,9.3,0,0,0,0,0,0,6.9,8.4,519,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Ruben Patterson,0,31,0.578,15.9,20.8,9,11.9,10.3,18.6,265.7,8.9,0,2.3,3.1,440,5.4,8.4,5.9,10.7,475,0.557,1.38,0.55,3,4.6,241,0.641,0,0,0,0,0,0,0,0,110,1.36,2.11,0.47,0,0,0,0,10,0
Metta World Peace,0,37.7,0.538,14.7,21.3,4,16,10.1,18.59,319,10.6,18.8,1.5,5,454,6.5,8.3,6.5,14.9,458,0.468,1.27,0.485,4.4,5.9,307,0.74,1.3,4,93,0.358,235,3.4,4.3,1.61,149,2.13,2.71,0.73,0,0,0,0,11,0
Antawn Jamison,0,38,0.545,9,20.9,6,19,12.1,18.5,278.2,9.3,19.8,1.9,6.1,562,8,10.1,7.3,16.3,512,0.492,1.22,0.51,3.2,4.4,226,0.736,2,5,138,0.364,0,0,0,0,80,1.14,1.44,0.41,0,0,0,0,22,0
