MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,31.6,0.557,10.9,22.5,8,20.3,14.3,20,169.5,5.6,16.3,2.2,5.3,639,7.5,11.4,5.9,12.4,501,0.482,1.31,0.48,4.4,5,373,0.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
0,38.2,0.501,15.7,29.6,4,10.6,7.2,19.99,218.3,7.3,22.5,0,0,0,0,0,8.3,20,608,0.424,1.13,0.449,4.6,5.7,336,0.806,0,0,0,0,348,4.8,6,1.56,88,1.21,1.52,0.42,65,0.89,1.12,0.31,0,0
0,40.7,0.513,11.7,20.4,7,18.7,13.1,19.96,196.4,6.5,19,2.7,6.6,737,9.3,11,7.5,17,590,0.465,1.12,0.474,0,0,0,0,0,0,0,0,0,0,0,0,167,2.11,2.49,0.82,104,1.32,1.55,0.51,35,0
0,36.8,0.544,9.6,23.6,4,10.9,7.7,19.87,231.1,7.7,21.7,0,0,0,0,0,7.7,17.5,633,0.47,1.23,0.484,4.7,5.4,383,0.868,1.5,4,127,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.8,0.536,5.9,24.2,9,19.2,14,19.85,140,4.7,0,0,0,0,0,0,0,0,0,0,0,0,5.6,7.9,310,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
0,21.3,0.596,35.6,16.9,2,9.2,5.5,19.72,100.1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,4.2,9.5,4.89,0,0,0,0,0,0,0,0,0,0
0,36.6,0.485,32.5,24.5,4,16.5,10.3,19.7,167.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,9.2,12.1,2.89,0,0,0,0,0,0,0,0,34,9
0,37.9,0.528,8.4,25.1,9,23.4,16.5,19.63,191.6,6.4,20.1,3,7.5,851,10.5,13.3,8.2,16.9,663,0.486,1.19,0.485,3.7,4.9,299,0.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
0,21.5,0.626,13.3,17.3,7,15,10.9,19.44,90.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.4,0.579,23.4,16.6,8,23.3,16.1,19.42,162.3,5.4,0,2.7,7.7,743,10.3,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,4.3,5.7,2.17,0,0,0,0,86,1.19,1.57,0.35,32,2
