PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
LeBron James,3rd,38.8,0.594,21.2,29.7,3.3,18.7,11.4,27.34,770,25.7,26.7,1,6.5,590,7.5,9.2,9.6,18.8,758,0.552,1.42,0.541,6.4,8.4,503,0.759,1.2,4,92,0.33,554,7,8.7,1.95,124,1.57,1.94,0.76,0,0,0,0,31,4
Dwight Howard,2nd,37.6,0.616,5.8,24.3,12.6,30.6,21.8,26.13,680.3,22.7,22.9,4,10.1,1098,14.1,18,7.9,13.4,619,0.597,1.71,0.593,7,11.7,546,0.596,0,0,0,0,0,0,0,0,107,1.37,1.75,0.41,186,2.38,3.04,0.72,66,0
Dwyane Wade,0,37.1,0.581,15.4,29.1,5.5,14.4,10.2,25.65,638.3,21.3,25.5,1.6,4.8,485,6.4,8.2,9.1,18.2,692,0.534,1.4,0.523,6.5,8.6,494,0.758,0,0,0,0,346,4.6,5.9,1.46,111,1.46,1.89,0.56,87,1.14,1.48,0.44,10,1
Kevin Love,0,35.8,0.593,11.6,21.3,13.7,34.2,23.6,24.39,502.4,16.7,20.2,4.5,10.7,1112,15.2,20.4,6.6,14.1,482,0.483,1.44,0.513,5.8,6.8,424,0.85,1.2,3,88,0.417,184,2.5,3.4,1.19,0,0,0,0,0,0,0,0,64,0
Kobe Bryant,4th,33.9,0.548,15.4,33,3.5,13.3,8.5,23.94,557.4,18.6,25.3,1,4.1,419,5.1,7.2,9,20,740,0.487,1.27,0.487,5.9,7.1,483,0.828,1.4,4,115,0.323,388,4.7,6.7,1.6,99,1.21,1.71,0.58,0,0,0,0,9,1
Chris Paul,0,36,0.578,38,22.2,1.6,12.3,6.9,23.76,548.4,18.3,15.9,0,0,0,0,0,0,0,0,0,0,0,4.2,4.8,337,0.878,0,0,0,0,782,9.8,13,4.42,188,2.35,3.13,0.96,0,0,0,0,32,0
Kevin Durant,5th,38.9,0.589,9.4,27.8,2.3,17.7,10.3,23.7,598.4,19.9,27.7,0.7,6.1,533,6.8,8.4,9.1,19.7,711,0.504,1.41,0.509,7.6,8.7,594,0.88,1.9,5,145,0.35,214,2.7,3.4,0.98,88,1.13,1.39,0.55,76,0.97,1.2,0.48,14,0
Russell Westbrook,0,34.7,0.538,25.2,30.8,5.2,10.3,7.8,23.63,536.8,17.9,21.9,1.5,3.1,379,4.6,6.4,7.5,17,614,0.451,1.29,0.454,6.5,7.7,531,0.842,0,0,0,0,670,8.2,11.3,2.12,155,1.89,2.61,0.75,0,0,0,0,31,3
Derrick Rose,1st,37.4,0.55,22.7,31.3,3.2,9.4,6.4,23.62,569.8,19,25,0,0,0,0,0,8.8,19.7,711,0.481,1.27,0.485,5.9,6.9,476,0.858,1.6,5,128,0.332,623,7.7,9.9,2.24,85,1.05,1.35,0.63,0,0,0,0,23,1
Dirk Nowitzki,0,34.3,0.612,11.2,25.5,2.4,20.8,12,23.52,449.2,15,23,0.7,6.3,513,7,9.8,8.4,16.2,610,0.538,1.43,0.545,5.4,6.1,395,0.892,0,0,0,0,190,2.6,3.6,1.39,0,0,0,0,0,0,0,0,16,0
Pau Gasol,0,37,0.589,15.8,20.6,10.3,20.5,15.6,23.33,536.1,17.9,18.8,3.3,6.9,836,10.2,13.2,7.2,13.7,593,0.53,1.38,0.53,4.3,5.2,354,0.823,0,0,0,0,273,3.3,4.3,1.92,0,0,0,0,130,1.59,2.05,0.64,43,1
Amar'e Stoudemire,0,36.8,0.565,9.2,27.7,7.8,17.6,12.7,22.78,483,16.1,25.3,2.5,5.6,636,8.2,10.6,9.5,19,744,0.503,1.33,0.505,6.1,7.7,473,0.792,0,0,0,0,202,2.6,3.4,0.81,71,0.91,1.19,0.26,150,1.92,2.51,0.55,26,0
Zach Randolph,0,36.3,0.552,9.7,23,14.2,26,20.1,22.67,454.1,15.1,20.1,4.3,7.8,914,12.2,16.1,8,15.8,598,0.515,1.27,0.507,4,5.3,300,0.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
Tim Duncan,0,28.4,0.537,15.9,21.2,9.3,26.8,18.3,21.94,364.8,12.2,13.4,2.2,6.7,678,8.9,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,2.7,4.5,1.66,0,0,0,0,146,1.92,3.25,1.23,27,1
Blake Griffin,0,38,0.549,14.1,25.6,10.2,26.9,18.6,21.93,484.5,16.1,22.5,3.3,8.8,989,12.1,15.3,8.5,16.8,696,0.51,1.34,0.508,5.4,8.5,446,0.642,0,0,0,0,312,3.8,4.8,1.4,0,0,0,0,0,0,0,0,63,2
Carmelo Anthony,0,35.7,0.557,10.1,29.1,5,18.3,11.8,21.82,464.6,15.5,25.6,1.5,5.8,563,7.3,9.8,8.9,19.5,684,0.47,1.31,0.487,6.6,7.9,507,0.838,1.2,3,95,0.378,221,2.9,3.9,1.07,68,0.88,1.19,0.3,0,0,0,0,18,0
Manu Ginobili,0,30.3,0.581,22.3,24.8,2.1,11.8,7.1,21.78,408.6,13.6,17.4,0,0,0,0,0,0,0,0,0,0,0,4.5,5.1,357,0.871,1.9,6,154,0.349,393,4.9,7.8,2.26,123,1.54,2.43,0.75,0,0,0,0,0,0
LaMarcus Aldridge,0,39.6,0.549,8.8,23.7,10.1,17.2,13.5,21.57,482.6,16.1,21.8,3.4,5.3,709,8.8,10.6,8.7,17.5,707,0.505,1.25,0.501,4.3,5.5,351,0.791,0,0,0,0,0,0,0,0,82,1.01,1.23,0.37,94,1.16,1.41,0.43,36,0
Kevin Martin,0,32.5,0.601,10.2,27.2,1.2,10,5.6,21.46,425.7,14.2,23.5,0,0,0,0,0,6.9,15.8,553,0.467,1.48,0.506,7.4,8.4,594,0.888,2.2,6,176,0.383,198,2.5,3.7,1.08,80,1,1.48,0.52,0,0,0,0,0,0
Deron Williams,0,37.9,0.566,32.5,25.9,1.9,10.9,6.3,21.19,374.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,5.4,6.3,348,0.845,1.6,5,105,0.331,667,10.3,13,2.9,0,0,0,0,0,0,0,0,34,0
Andrew Bynum,0,27.8,0.606,11.2,16.3,13.3,24.7,19.2,21.14,235.9,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1.96,3.39,0.76,17,0
Steve Nash,0,33.3,0.601,41.9,23,1.8,10.2,6,20.81,365.5,12.2,14.7,0,0,0,0,0,0,0,0,0,0,0,3,3.3,227,0.912,0,0,0,0,855,11.4,16.4,3.23,0,0,0,0,0,0,0,0,41,0
Al Horford,0,35.1,0.587,19.2,18.5,8.2,23.7,16,20.79,411,13.7,15.3,2.4,7,718,9.3,12.7,6.7,12,513,0.557,1.28,0.558,0,0,0,0,0,0,0,0,266,3.5,4.7,2.24,0,0,0,0,80,1.04,1.42,0.41,36,0
