PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
Stephen Curry,1st,34.2,0.669,20.6,31.6,2.9,13.6,8.6,31.56,828.6,27.6,30.1,0.9,4.6,430,5.4,7.6,10.2,20.2,805,0.566,1.49,0.63,4.6,5.1,363,0.908,5.1,11,402,0.454,527,6.7,9.4,2.01,169,2.14,3,1.05,0,0,0,0,15,2
Kevin Durant,5th,35.8,0.634,16.3,30.2,2,21.8,12.4,28.25,682.8,22.8,28.2,0.6,7.6,589,8.2,11,9.7,19.2,698,0.57,1.47,0.573,6.2,6.9,447,0.898,2.6,7,186,0.386,361,5,6.7,1.44,69,0.96,1.28,0.5,85,1.18,1.58,0.62,27,1
Boban Marjanovic,0,9.4,0.662,7.7,21,16.9,26.2,21.7,27.77,130.2,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,4th,34.4,0.554,29,33.3,6.1,18.1,12.4,27.64,683,22.8,23.5,1.8,6,626,7.8,10.9,8.2,18.1,656,0.503,1.3,0.489,5.8,7.2,465,0.812,1.3,4,101,0.296,834,10.4,14.6,2.44,163,2.04,2.85,0.82,0,0,0,0,54,18
LeBron James,3rd,35.6,0.588,21.5,31.1,4.7,18.8,11.8,27.64,692.9,23.1,25.3,1.5,6,565,7.4,10,9.7,18.6,737,0.573,1.36,0.551,4.7,6.5,359,0.731,0,0,0,0,514,6.8,9.1,2.06,104,1.37,1.84,0.73,0,0,0,0,28,3
Chris Paul,0,32.7,0.575,33.7,28.1,1.8,12,7,26.31,552.8,18.4,19.5,0,0,0,0,0,7,15.1,515,0.501,1.3,0.517,4,4.4,294,0.896,1.6,4,122,0.371,738,10,14.6,3.8,152,2.05,3.01,0.82,0,0,0,0,38,0
Kawhi Leonard,2nd,33.1,0.616,12.2,24.2,4.7,18.4,11.8,26.11,554.6,18.5,21.2,1.3,5.5,493,6.8,9.9,7.7,15.1,551,0.528,1.4,0.565,4.1,4.6,292,0.874,1.8,4,129,0.443,186,2.6,3.8,1.77,128,1.78,2.58,0.96,0,0,0,0,12,0
Hassan Whiteside,0,29.1,0.629,2.9,18.8,13.1,32.4,23.1,25.69,478.5,16,0,3.3,8.6,865,11.8,19.5,5.7,9.3,413,0.606,1.52,0.606,2.9,4.5,214,0.65,0,0,0,0,0,0,0,0,0,0,0,0,269,3.68,6.08,1.34,41,3
James Harden,0,38.1,0.598,20.6,32.2,2.2,15.6,8.8,25.36,693.1,23.1,29,0.8,5.3,501,6.1,7.7,8.7,19.7,710,0.494,1.47,0.512,8.8,10.2,720,0.86,2.9,8,236,0.359,612,7.5,9.4,1.64,139,1.7,2.14,0.61,0,0,0,0,23,3
Anthony Davis,0,35.5,0.559,7.4,27.2,6.4,26.4,16.1,25.1,439.1,14.6,24.3,2.1,8.1,627,10.3,13.9,9.2,18.6,560,0.511,1.3,0.508,5.3,7,326,0.758,0,0,0,0,0,0,0,0,78,1.28,1.73,0.53,125,2.05,2.77,0.84,36,0
Enes Kanter,0,21,0.626,3.4,21.9,16.7,24.9,21,24.09,346.5,11.6,0,3,5.1,664,8.1,18.5,5,8.8,414,0.579,1.44,0.583,2.4,3.1,200,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
DeMarcus Cousins,0,34.6,0.538,10.3,33.2,7.7,28.2,18,23.67,438,14.6,26.9,2.4,9.1,747,11.5,16,9.2,20.5,601,0.473,1.31,0.477,7.3,10.2,476,0.718,0,0,0,0,214,3.3,4.6,0.86,101,1.55,2.16,0.43,92,1.42,1.97,0.39,47,1
Jonas Valanciunas,0,26,0.61,5.6,19.3,13.8,26.3,20.1,22.63,279.6,9.3,0,3.1,6.1,547,9.1,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.33,2.47,0.51,22,0
Karl-Anthony Towns,0,32,0.59,10,23.1,10.2,27.5,19,22.59,469.9,15.7,18.3,2.8,7.7,857,10.5,15.7,7.6,14.1,625,0.559,1.3,0.555,2.7,3.4,223,0.811,0,0,0,0,0,0,0,0,0,0,0,0,138,1.68,2.52,0.56,51,0
Carl Landry,0,15.8,0.605,9.3,22.2,9.1,19.2,14,22.51,93.5,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMarcus Aldridge,0,30.6,0.565,7.9,23.8,9.2,22.2,15.9,22.43,369,12.3,18,2.4,6.2,632,8.5,13.4,7.2,14.1,536,0.521,1.27,0.513,3.5,4.1,259,0.858,0,0,0,0,0,0,0,0,0,0,0,0,81,1.09,1.72,0.54,26,0
Damian Lillard,0,35.7,0.56,21.1,31.2,1.8,10.4,6.1,22.25,449.1,15,25.1,0,0,0,0,0,8.2,19.7,618,0.45,1.27,0.497,5.5,6.2,414,0.892,3.1,8,229,0.375,512,6.8,9.2,2.12,0,0,0,0,0,0,0,0,15,0
Blake Griffin,0,33.4,0.544,18.1,28.3,4.8,22.3,13.7,22.22,187.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Kyle Lowry,0,37,0.578,23.2,26,2.2,12.3,7.3,22.2,476.5,15.9,21.2,0,0,0,0,0,6.6,15.6,512,0.461,1.36,0.516,5.2,6.4,398,0.811,2.8,7,212,0.388,494,6.4,8.3,2.2,158,2.05,2.66,0.75,0,0,0,0,12,1
Greg Monroe,0,29.3,0.562,12.9,22.2,10.9,23.4,17.2,21.87,389.2,13,0,2.8,6.1,696,8.8,14.4,6.2,11.9,491,0.522,1.29,0.522,2.9,3.9,228,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
Brook Lopez,0,33.7,0.562,8.8,25.5,9.2,17.2,13.1,21.8,410.8,13.7,20.6,2.8,5.1,573,7.8,11.2,8.1,15.8,591,0.515,1.3,0.512,4.3,5.5,317,0.787,0,0,0,0,0,0,0,0,0,0,0,0,124,1.7,2.42,0.58,26,0
Pau Gasol,0,31.8,0.529,18.6,24.1,7.3,28.7,18.2,21.76,381.6,12.7,16.5,2.2,8.9,793,11,16.6,6.5,13.8,467,0.478,1.19,0.481,3.2,4,229,0.792,0,0,0,0,294,4.1,6.2,1.79,0,0,0,0,146,2.03,3.06,0.99,46,2
Derrick Favors,0,32,0.551,8.4,22.4,10,19.6,14.8,21.71,302.1,10.1,16.4,2.7,5.4,503,8.1,12.2,6.7,13.1,418,0.518,1.25,0.515,2.9,4.1,180,0.709,0,0,0,0,0,0,0,0,74,1.19,1.79,0.49,91,1.47,2.2,0.61,19,0
DeMar DeRozan,0,35.9,0.55,14.6,28.5,2.7,11.5,7.1,21.58,463.9,15.5,23.5,0,0,0,0,0,7.9,17.7,614,0.458,1.33,0.463,7.1,8.4,555,0.85,0,0,0,0,315,4,5.4,1.8,81,1.04,1.39,0.49,0,0,0,0,0,0
Nikola Jokic,0,21.7,0.582,19.4,19.6,11.4,24.7,17.9,21.58,284.1,9.5,0,2.3,4.7,560,7,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.99,2.19,0.38,0,0,0,0,16,0
Isaiah Thomas,0,32.2,0.562,21.7,29.5,1.8,8,4.9,21.54,415.8,13.9,22.2,0,0,0,0,0,7.2,16.9,591,0.462,1.32,0.488,5.8,6.6,474,0.871,2,6,167,0.359,509,6.2,9.2,2.31,91,1.11,1.65,0.54,0,0,0,0,7,0
Cole Aldrich,0,13.3,0.626,13.3,17.2,11.9,27.1,19.6,21.35,128.4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1.13,4.08,0.49,0,0
Paul Millsap,0,32.7,0.556,15.6,22.7,8.4,21.5,15.1,21.33,388.5,13,17.1,2.4,6.6,732,9,13.3,6.2,13.2,501,0.512,1.3,0.505,3.8,5,309,0.757,0,0,0,0,265,3.3,4.8,1.39,147,1.81,2.67,0.62,139,1.72,2.52,0.59,32,0
Jimmy Butler,0,36.9,0.562,18.9,23.9,3.4,11.6,7.6,21.33,399.9,13.3,20.9,0,0,0,0,0,7,15.4,470,0.489,1.35,0.485,5.9,7.1,395,0.832,0,0,0,0,321,4.8,6.2,2.43,110,1.64,2.13,0.89,0,0,0,0,10,2
Andre Drummond,0,32.9,0.499,4.4,22.6,15.6,34.2,24.5,21.3,425.8,14.2,0,4.9,9.9,1198,14.8,21.6,6.8,13.1,552,0.522,1.24,0.522,2.6,7.2,208,0.355,0,0,0,0,0,0,0,0,119,1.47,2.14,0.49,112,1.38,2.02,0.46,66,0
Nikola Vucevic,0,31.3,0.531,12.7,25.4,9.3,22.2,15.7,21.15,320.8,10.7,18.2,2.7,6.2,576,8.9,13.6,8.2,16.1,533,0.512,1.13,0.511,0,0,0,0,0,0,0,0,179,2.8,4.2,1.46,0,0,0,0,70,1.08,1.65,0.4,29,0
Kenneth Faried,0,25.3,0.577,8.8,19.8,15.1,23,19,21.06,241.7,8.1,0,3.5,5.2,581,8.7,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
Paul George,0,34.8,0.557,14.5,28.9,3.1,18.7,10.9,20.98,441,14.7,23.1,1,6,563,7,9.6,7.5,17.9,605,0.447,1.29,0.49,5.6,6.5,454,0.86,2.6,7,210,0.371,329,4.1,5.6,1.24,152,1.88,2.59,0.66,0,0,0,0,15,0
Kemba Walker,0,35.6,0.554,19.9,25.5,2.1,11.5,6.8,20.87,425,14.2,20.9,0,0,0,0,0,7,16.4,568,0.459,1.27,0.495,4.6,5.4,371,0.847,2.2,6,182,0.371,421,5.2,7,2.46,126,1.56,2.1,1.14,0,0,0,0,0,0
DeAndre Jordan,0,33.7,0.628,9.2,14.1,11.4,32.7,22.2,20.66,390.2,13,0,3.5,10.3,1059,13.8,19.6,0,0,0,0,0,0,3.5,8,266,0.43,0,0,0,0,0,0,0,0,0,0,0,0,177,2.3,3.27,0.86,49,0
