PLAYER,MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
LeBron James,1st,37.7,0.591,21.1,32.2,4.3,19,11.9,31.76,969.2,32.3,28.4,1.3,6.3,613,7.6,9.6,9.7,19.9,789,0.535,1.43,0.53,7.3,9.4,594,0.78,1.6,5,132,0.344,587,7.2,9.2,2.44,137,1.69,2.15,0.99,93,1.15,1.46,0.67,29,7
Dwyane Wade,3rd,38.6,0.574,20,34.1,3.5,12.2,7.8,30.46,908.1,30.3,30.2,1.1,3.9,398,5,6.3,10.8,22,854,0.524,1.37,0.516,7.5,9.8,590,0.765,1.1,4,88,0.317,589,7.5,9.3,2.17,173,2.19,2.72,0.97,106,1.34,1.67,0.6,20,0
Chris Paul,5th,38.5,0.599,33.4,27.9,2.8,14.6,8.7,30.04,853.2,28.4,22.8,0.9,4.7,432,5.5,6.9,8.1,16.1,631,0.525,1.42,0.528,5.8,6.7,455,0.868,0,0,0,0,861,11,13.8,3.73,216,2.77,3.45,1.02,0,0,0,0,50,6
Dwight Howard,4th,35.7,0.6,6.6,23,13.8,29.5,21.8,25.44,624.8,20.8,20.6,4.3,9.6,1093,13.8,18.6,7.1,12.4,560,0.573,1.66,0.572,6.4,10.7,504,0.594,0,0,0,0,0,0,0,0,77,0.97,1.31,0.29,231,2.92,3.93,0.86,63,1
Tim Duncan,0,33.6,0.549,15.1,26,9.6,27.9,18.9,24.51,523.6,17.5,19.3,2.7,8,800,10.7,15.2,7.4,14.8,558,0.505,1.31,0.504,4.5,6.4,334,0.692,0,0,0,0,264,3.5,5,1.6,0,0,0,0,126,1.68,2.4,0.73,49,0
Kobe Bryant,2nd,36.1,0.561,15.5,30.2,3.5,12.8,8.2,24.46,616.7,20.6,26.8,1.1,4.1,429,5.2,7,9.8,20.9,800,0.496,1.29,0.502,5.9,6.9,483,0.856,1.4,4,118,0.351,399,4.9,6.5,1.9,120,1.46,1.95,0.63,0,0,0,0,8,2
Brandon Roy,0,37.2,0.573,19.1,26.5,4.4,11.6,7.9,24.08,588.4,19.6,22.6,1.3,3.4,370,4.7,6.1,8.1,16.9,633,0.501,1.34,0.512,5.3,6.5,416,0.824,0,0,0,0,400,5.1,6.6,2.63,88,1.13,1.46,0.69,0,0,0,0,0,0
Tony Parker,0,34.1,0.556,23.6,30.1,1.3,9.4,5.4,23.47,457,15.2,22,0,0,0,0,0,8.9,17.5,639,0.518,1.25,0.513,3.9,5,284,0.782,0,0,0,0,496,6.9,9.7,2.67,67,0.93,1.31,0.61,0,0,0,0,15,0
Dirk Nowitzki,0,37.7,0.564,8.9,27.3,3.3,22.1,12.8,23.2,532.4,17.7,25.9,1.1,7.3,681,8.4,10.7,9.6,20,774,0.493,1.3,0.498,6,6.7,485,0.89,0,0,0,0,197,2.4,3.1,1.25,0,0,0,0,63,0.78,0.99,0.36,26,0
Al Jefferson,0,36.7,0.532,6.3,26.2,10.6,24.9,17.5,23.16,344.1,11.5,0,0,0,0,0,0,9.7,19.5,485,0.499,1.19,0.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
