MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,33.7,0.6,9.1,22,11.4,27.9,20.1,21.36,384.8,12.8,18.3,3.3,8.9,866,12.2,17.3,6.7,11.3,473,0.594,1.62,0.593,4.9,9,349,0.547,0,0,0,0,0,0,0,0,0,0,0,0,128,1.8,2.56,0.53,47,0
0,30.8,0.582,5.3,21.1,13.1,17.6,15.3,20.72,251.2,8.4,0,0,0,0,0,0,0,0,0,0,0,0,3.4,4.6,186,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
0,34.7,0.574,23.4,26.1,2.1,7.5,4.7,20.54,355.6,11.9,20.3,0,0,0,0,0,6.9,15.2,496,0.504,1.34,0.51,4.8,5.7,346,0.85,1.8,5,127,0.349,454,6.3,8.7,2.13,93,1.29,1.79,0.5,0,0,0,0,0,0
0,36.2,0.567,28.9,23.4,3.6,11.5,7.5,20.2,392.9,13.1,17.9,0,0,0,0,0,5.8,13.7,457,0.46,1.31,0.511,4,4.9,313,0.813,2.4,6,190,0.38,586,7.4,9.8,3.02,121,1.53,2.03,0.45,0,0,0,0,18,2
0,36.2,0.555,13.7,26.4,2.6,17.7,10.5,20.16,417.9,13.9,21.7,0.8,6,542,6.8,9,7.2,17,577,0.458,1.28,0.49,5,5.8,401,0.864,2.3,6,182,0.364,283,3.5,4.7,1.26,151,1.89,2.5,0.76,0,0,0,0,12,1
0,35.2,0.533,21.6,27.8,2.3,9.5,5.8,20.14,340.4,11.3,20.8,0,0,0,0,0,7.5,17.4,532,0.458,1.19,0.48,4.1,4.8,291,0.861,1.7,5,123,0.358,433,6.1,8.3,2.28,108,1.52,2.08,0.66,0,0,0,0,0,0
0,33.5,0.545,25.3,24.7,2,8.4,5.2,20.07,331,11,17.2,0,0,0,0,0,6.3,14.1,463,0.484,1.22,0.5,3.1,3.8,225,0.815,1.4,4,105,0.361,441,6,8.7,2.94,110,1.51,2.16,0.78,0,0,0,0,0,0
0,22.8,0.59,25.7,24.2,2.3,12,7.3,20.06,221.2,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,90,0.349,293,4.3,9.1,2.11,70,1.03,2.17,0.55,0,0,0,0,0,0
4th,35.3,0.531,27.4,18.9,11.6,24.5,18.2,20.06,398.3,13.3,0,3.5,7.7,900,11.3,15.3,4.8,10,380,0.476,1.26,0.475,3.1,4.2,247,0.737,0,0,0,0,431,5.4,7.3,2.22,99,1.24,1.69,0.4,121,1.51,2.06,0.49,47,4
0,27.2,0.573,8.1,19.7,11.8,22.2,16.9,19.9,273.1,9.1,13.7,3,5.6,684,8.6,15.1,5.6,10.3,447,0.547,1.34,0.545,2.5,3.9,202,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
0,33.5,0.545,14.2,23.7,7.2,21.9,14.6,19.83,308.4,10.3,17.9,2.1,6.4,627,8.5,12.1,6.5,14.1,483,0.487,1.27,0.498,3.9,5.3,286,0.731,0,0,0,0,232,3.1,4.5,1.25,129,1.74,2.49,0.61,78,1.05,1.51,0.37,30,1
0,32.9,0.576,6.7,18,10,19.6,15,19.66,324.8,10.8,15.1,2.8,6,709,8.8,12.8,6.5,12.1,524,0.546,1.25,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,2.7,3.94,0.94,29,0
0,32.9,0.578,22.6,24.4,2.1,13.8,8,19.62,182.2,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36.3,0.524,28.5,27.7,1.5,11.7,6.5,19.61,383,12.8,19.3,0,0,0,0,0,7.1,16.3,579,0.458,1.18,0.473,3.9,4.8,317,0.805,1.3,4,108,0.351,721,8.8,11.6,2.44,149,1.82,2.4,0.68,0,0,0,0,29,2
0,29.1,0.602,14.6,17,4.6,18.9,12.1,19.43,256.3,8.5,0,1.2,5.1,412,6.2,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1.73,2.85,0.9,0,0,0,0,0,0
0,20.8,0.579,7.4,17.6,13.8,24.3,19,19.39,176.6,5.9,0,2.7,4.7,535,7.4,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.89,2.05,0.37,15,0
0,31.4,0.522,15,24.4,7,25.9,16.4,19.34,245.8,8.2,17.4,2.1,7.6,580,9.7,14.8,7.1,14.8,425,0.483,1.18,0.482,3.1,4.2,187,0.736,0,0,0,0,201,3.4,5.1,1.43,0,0,0,0,92,1.53,2.34,0.74,30,0
0,33.2,0.566,10.4,22.4,8.8,21.6,15.3,19.21,263.2,8.8,18.2,2.6,6.7,643,9.3,13.5,7.4,14.2,513,0.523,1.28,0.523,3.3,4.3,231,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
0,27.3,0.577,9.1,16.8,9.2,18.5,14.1,19.14,236.9,7.9,0,2.1,4.8,528,6.9,12.2,5.1,9.4,386,0.581,1.29,0.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1.3,2.29,0.71,18,0
0,32,0.597,6.8,20,5.1,20.3,13,19.11,321.5,10.7,16.2,1.2,5.4,522,6.6,9.9,6.2,12.1,492,0.569,1.34,0.555,2.8,3.4,223,0.82,0,0,0,0,0,0,0,0,80,1.01,1.52,0.42,78,0.99,1.48,0.41,0,0
0,18.2,0.67,11.4,15.6,9.3,19.6,14.5,19.09,144.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35.8,0.553,31.4,23.5,1.9,8.5,5.2,19.02,266,8.9,17.6,0,0,0,0,0,0,0,0,0,0,0,5.2,6.5,324,0.798,0,0,0,0,543,8.8,11.7,2.72,100,1.61,2.16,0.88,0,0,0,0,23,0
0,30.2,0.556,8.3,19.3,10.1,23.7,16.7,19.01,276.3,9.2,13.3,2.7,6,637,8.7,13.9,5.3,10.2,390,0.523,1.3,0.522,2.6,3.9,190,0.669,0,0,0,0,0,0,0,0,75,1.03,1.64,0.32,108,1.48,2.36,0.46,25,0
