MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
,34.6,0.554,23.4,42.5,5.4,28.8,17.1,30.7,823.7,27.5,31.6,1.7,9,864,10.7,14.8,10.2,24,824,0.459,1.32,0.476,8.8,10.4,710,0.845,2.5,7,200,0.343,840,10.4,14.4,1.92,132,1.63,2.26,0.69,0,0,0,0,62,42
,33.4,0.651,18.4,26.7,2.2,23.6,13.6,27.68,530.7,17.7,25.1,0.6,7.6,513,8.3,11.9,8.9,16.5,551,0.608,1.52,0.594,5.4,6.2,336,0.875,1.9,5,117,0.375,300,4.8,7,2.17,66,1.06,1.53,0.56,99,1.6,2.3,0.85,23,1
,33.4,0.61,13.3,29.6,3.7,15.7,9.8,27.62,632.4,21.1,25.5,1.1,4.7,430,5.8,8.3,8.6,17.7,636,0.529,1.44,0.541,6.3,7.2,469,0.88,2,5,147,0.38,260,3.5,5,1.69,133,1.8,2.58,1.09,0,0,0,0,9,0
,36.1,0.58,7.3,29.8,6.7,27.9,17.2,27.59,650.4,21.7,28,2.3,9.5,884,11.8,15.7,10.3,20.3,770,0.524,1.38,0.518,6.9,8.6,519,0.802,0,0,0,0,0,0,0,0,94,1.25,1.67,0.56,167,2.23,2.96,0.99,49,0
,36.4,0.613,27.6,35.1,3.5,20.9,12.2,27.43,744.7,24.8,29.1,1.2,7,659,8.1,10.7,8.3,18.9,674,0.53,1.54,0.525,9.2,10.9,746,0.847,3.2,9,262,0.347,907,11.2,14.8,1.95,121,1.49,1.97,0.56,0,0,0,0,64,22
,37.8,0.619,25.6,30.1,4,20.7,12.6,27.11,692.7,23.1,26.4,1.3,7.3,639,8.6,11,9.9,18.2,736,0.611,1.45,0.594,4.8,7.2,358,0.674,1.7,5,124,0.363,646,8.7,11.1,2.13,92,1.24,1.58,0.69,0,0,0,0,42,13
,33.8,0.625,18.5,32.8,1.9,7,4.4,26.59,597.9,19.9,28.9,0,0,0,0,0,9,19.4,682,0.528,1.49,0.546,7.8,8.5,590,0.909,3.2,9,245,0.379,448,5.9,8.4,2.13,0,0,0,0,0,0,0,0,0,0
,27.9,0.64,24.2,24,11.6,27.2,19.5,26.4,453.3,15.1,16.7,2.9,6.9,718,9.8,16.9,6.8,11.7,494,0.628,1.43,0.605,2.6,3.1,188,0.825,0,0,0,0,359,4.9,8.5,2.1,0,0,0,0,0,0,0,0,39,6
,31.5,0.614,35,25.8,2.4,14.9,8.8,26.25,437.3,14.6,18.1,0,0,0,0,0,6.1,12.9,374,0.518,1.41,0.555,3.8,4.3,232,0.892,2,5,124,0.411,563,9.2,14.1,3.83,119,1.95,2.97,0.82,0,0,0,0,24,1
,35.6,0.599,19.8,27.4,5.9,22.6,14.3,26.13,663.7,22.1,22.9,1.8,7,700,8.8,11.8,8.2,15.7,656,0.563,1.46,0.541,5.9,7.7,471,0.77,0,0,0,0,434,5.4,7.3,1.85,131,1.64,2.21,0.53,151,1.89,2.55,0.61,32,3
,37,0.618,10.5,26.2,11.2,27.8,19.4,26,696.6,23.2,25.1,3.6,8.7,1007,12.3,15.9,9.8,18,802,0.582,1.39,0.576,4.3,5.2,356,0.832,0,0,0,0,220,2.7,3.5,1.04,0,0,0,0,103,1.26,1.63,0.43,62,1
,34.2,0.562,14.3,31,7,29.2,18.2,25.84,527.4,17.6,27,2.1,8.9,794,11,15.5,9,19.9,647,0.483,1.36,0.498,7.2,9.3,517,0.772,1.8,5,131,0.361,332,4.6,6.5,1.23,100,1.39,1.95,0.36,93,1.29,1.81,0.33,46,2
,9.6,0.642,4,21.6,15.9,20.1,18.1,25.26,161.7,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0.87,4.35,0.61,0,0
